geneId	chr	strand	start	end	ensembl_gene_id	hgnc_symbol	description
ENSG00000002933.6	chr7	+	150800403	150805120	ENSG00000002933	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]
ENSG00000003056.6	chr12	-	8940363	8949955	ENSG00000003056	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]
ENSG00000003096.12	chrX	-	117897813	118117340	ENSG00000003096	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]
ENSG00000003137.7	chr2	-	72129238	72148038	ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]
ENSG00000003147.16	chr7	-	8113184	8262687	ENSG00000003147	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]
ENSG00000003249.12	chr16	-	90004865	90020128	ENSG00000003249	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]
ENSG00000003393.13	chr2	-	201700554	201781189	ENSG00000003393	ALS2	ALS2, alsin Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:443]
ENSG00000003400.13	chr2	+	201182881	201229406	ENSG00000003400	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]
ENSG00000003402.18	chr2	+	201116104	201176687	ENSG00000003402	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]
ENSG00000003436.13	chr2	-	187464230	187565760	ENSG00000003436	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
ENSG00000003509.14	chr2	+	37231631	37253403	ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]
ENSG00000003756.15	chr3	+	50088908	50119021	ENSG00000003756	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]
ENSG00000003987.12	chr8	-	17298030	17413528	ENSG00000003987	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]
ENSG00000003989.15	chr8	+	17497088	17570573	ENSG00000003989	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]
ENSG00000004059.9	chr7	+	127588345	127591705	ENSG00000004059	ARF5	ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]
ENSG00000004139.12	chr17	+	28364356	28404049	ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]
ENSG00000004142.10	chr17	-	28347177	28357522	ENSG00000004142	POLDIP2	polymerase (DNA) delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]
ENSG00000004399.11	chr3	-	129555175	129606818	ENSG00000004399	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]
ENSG00000004455.15	chr1	-	33007940	33080996	ENSG00000004455	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]
ENSG00000004468.11	chr4	+	15778275	15853230	ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]
ENSG00000004478.7	chr12	+	2794953	2805423	ENSG00000004478	FKBP4	FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]
ENSG00000004487.14	chr1	+	23019448	23083689	ENSG00000004487	KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]
ENSG00000004534.13	chr3	+	49940007	50100045	ENSG00000004534	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]
ENSG00000004660.13	chr17	-	3860315	3894891	ENSG00000004660	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]
ENSG00000004700.14	chr12	-	21468911	21501669	ENSG00000004700	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]
ENSG00000004766.14	chr7	+	93232340	93361121	ENSG00000004766	VPS50	VPS50, EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]
ENSG00000004776.10	chr19	-	35754568	35758079	ENSG00000004776	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]
ENSG00000004777.17	chr19	+	35774532	35788822	ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]
ENSG00000004779.8	chr16	-	23581002	23596356	ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]
ENSG00000004799.7	chr7	-	95583499	95596491	ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]
ENSG00000004838.12	chr3	-	50341110	50346852	ENSG00000004838	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]
ENSG00000004864.12	chr7	-	96120220	96322147	ENSG00000004864	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]
ENSG00000004866.17	chr7	+	116953238	117230103	ENSG00000004866	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]
ENSG00000004897.10	chr17	-	47117703	47189422	ENSG00000004897	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]
ENSG00000004961.13	chrX	+	11111301	11123078	ENSG00000004961	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]
ENSG00000004975.10	chr17	-	7225341	7234545	ENSG00000004975	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]
ENSG00000005001.8	chr16	-	2852727	2858170	ENSG00000005001	PRSS22	protease, serine 22 [Source:HGNC Symbol;Acc:HGNC:14368]
ENSG00000005007.11	chr19	+	18831938	18868236	ENSG00000005007	UPF1	UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]
ENSG00000005020.11	chr7	-	26667062	26995239	ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]
ENSG00000005022.5	chrX	+	119468400	119471319	ENSG00000005022	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]
ENSG00000005059.14	chr4	+	109560205	109688726	ENSG00000005059	CCDC109B	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:HGNC:26076]
ENSG00000005073.5	chr7	-	27181510	27185223	ENSG00000005073	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]
ENSG00000005075.14	chr7	-	102473118	102478907	ENSG00000005075	POLR2J	polymerase (RNA) II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]
ENSG00000005100.11	chr17	-	5440912	5469060	ENSG00000005100	DHX33	DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]
ENSG00000005102.11	chr17	-	43640388	43661954	ENSG00000005102	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]
ENSG00000005108.14	chr7	-	11370357	11832198	ENSG00000005108	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]
ENSG00000005156.10	chr17	+	34980494	35009743	ENSG00000005156	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]
ENSG00000005175.8	chr12	-	47661249	47706061	ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]
ENSG00000005187.10	chr16	+	20610243	20797581	ENSG00000005187	ACSM3	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]
ENSG00000005189.18	chr16	+	20806429	20849668	ENSG00000005189		Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]
ENSG00000005194.13	chr16	-	57428169	57447528	ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]
ENSG00000005206.15	chr19	+	2328615	2354806	ENSG00000005206	SPPL2B	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]
ENSG00000005238.18	chr9	-	35104112	35116341	ENSG00000005238	FAM214B	family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]
ENSG00000005243.8	chr17	-	48026167	48038030	ENSG00000005243	COPZ2	coatomer protein complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]
ENSG00000005249.11	chr7	+	107044649	107161811	ENSG00000005249	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]
ENSG00000005302.16	chrX	+	11758159	11775753	ENSG00000005302	MSL3	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:7370]
ENSG00000005339.11	chr16	-	3725054	3880726	ENSG00000005339	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]
ENSG00000005379.14	chr17	-	58301228	58328760	ENSG00000005379	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]
ENSG00000005436.12	chr2	-	75652000	75710989	ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]
ENSG00000005448.15	chr2	+	74421678	74425755	ENSG00000005448	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]
ENSG00000005469.10	chr7	+	87345681	87399795	ENSG00000005469	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]
ENSG00000005471.14	chr7	-	87401697	87480435	ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]
ENSG00000005483.18	chr7	+	105014179	105114361	ENSG00000005483	KMT2E	lysine methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]
ENSG00000005486.15	chr7	+	75842602	75888926	ENSG00000005486	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]
ENSG00000005513.9	chr16	+	981808	986979	ENSG00000005513	SOX8	SRY-box 8 [Source:HGNC Symbol;Acc:HGNC:11203]
ENSG00000005700.13	chr6	-	82169983	82247754	ENSG00000005700	IBTK	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]
ENSG00000005801.15	chr11	-	3339261	3379222	ENSG00000005801	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]
ENSG00000005810.16	chr13	-	77044655	77327050	ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]
ENSG00000005812.9	chr13	-	76992598	77027195	ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]
ENSG00000005844.16	chr16	+	30472658	30523185	ENSG00000005844	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]
ENSG00000005882.10	chr17	+	50094737	50112152	ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]
ENSG00000005884.16	chr17	+	50055968	50090481	ENSG00000005884	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]
ENSG00000005889.14	chrX	+	24149173	24216255	ENSG00000005889	ZFX	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:HGNC:12869]
ENSG00000005893.14	chrX	-	120427827	120469365	ENSG00000005893	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]
ENSG00000006007.10	chr16	-	19501689	19522145	ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]
ENSG00000006015.16	chr19	+	18588685	18592336	ENSG00000006015	C19orf60	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:HGNC:26098]
ENSG00000006016.9	chr19	-	18572220	18607741	ENSG00000006016	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]
ENSG00000006025.10	chr17	-	47807372	47821834	ENSG00000006025	OSBPL7	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]
ENSG00000006042.10	chr17	+	32927910	32945106	ENSG00000006042	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]
ENSG00000006047.11	chr17	-	7288252	7294615	ENSG00000006047	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENSG00000006062.12	chr17	-	45263121	45317040	ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]
ENSG00000006118.13	chr11	+	60924463	60937159	ENSG00000006118	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]
ENSG00000006125.15	chr17	+	35578046	35726409	ENSG00000006125	AP2B1	adaptor related protein complex 2 beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:563]
ENSG00000006128.10	chr7	+	97731908	97740472	ENSG00000006128	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]
ENSG00000006194.9	chr16	+	3263800	3301401	ENSG00000006194	ZNF263	zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]
ENSG00000006210.6	chr16	+	57372458	57385048	ENSG00000006210	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]
ENSG00000006282.18	chr17	+	50543058	50555852	ENSG00000006282	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]
ENSG00000006327.12	chr16	+	3018445	3022383	ENSG00000006327	TNFRSF12A	tumor necrosis factor receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]
ENSG00000006377.10	chr7	+	97005548	97011039	ENSG00000006377	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]
ENSG00000006432.14	chr14	-	70722526	70809534	ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]
ENSG00000006451.6	chr7	+	39623483	39708124	ENSG00000006451	RALA	RALA Ras like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]
ENSG00000006453.12	chr7	-	98291651	98401068	ENSG00000006453	BAIAP2L1	BAI1 associated protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]
ENSG00000006459.9	chr7	-	140084746	140177035	ENSG00000006459	KDM7A	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]
ENSG00000006468.12	chr7	-	13891228	13991425	ENSG00000006468	ETV1	ETS variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]
ENSG00000006530.14	chr7	+	141551189	141655244	ENSG00000006530	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]
ENSG00000006534.14	chr11	+	68008578	68029282	ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]
ENSG00000006555.9	chr1	-	54779712	54801267	ENSG00000006555	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]
ENSG00000006576.15	chr7	+	77798792	77957503	ENSG00000006576	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]
ENSG00000006606.7	chr7	-	75769533	75789896	ENSG00000006606	CCL26	C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625]
ENSG00000006607.12	chr2	+	241356243	241494841	ENSG00000006607	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]
ENSG00000006611.14	chr11	-	17493895	17544416	ENSG00000006611	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]
ENSG00000006625.16	chr7	-	30496621	30504844	ENSG00000006625	GGCT	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]
ENSG00000006634.6	chr7	+	87876216	87909541	ENSG00000006634	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]
ENSG00000006638.10	chr19	-	3594506	3606840	ENSG00000006638	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]
ENSG00000006652.12	chr7	+	112422968	112481017	ENSG00000006652	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]
ENSG00000006695.9	chr17	+	14069496	14208677	ENSG00000006695	COX10	COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:2260]
ENSG00000006704.9	chr7	+	74453790	74602604	ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]
ENSG00000006712.13	chr19	-	39385852	39391195	ENSG00000006712	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]
ENSG00000006715.14	chr7	-	38722963	38932394	ENSG00000006715	VPS41	VPS41, HOPS complex subunit [Source:HGNC Symbol;Acc:HGNC:12713]
ENSG00000006740.15	chr17	+	12789539	12991643	ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]
ENSG00000006744.17	chr17	-	12992391	13018187	ENSG00000006744	ELAC2	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]
ENSG00000006747.13	chr7	+	12570577	12660179	ENSG00000006747	SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]
ENSG00000006756.14	chrX	-	2903970	2929351	ENSG00000006756	ARSD	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]
ENSG00000006757.10	chrX	-	7898247	7927739	ENSG00000006757	PNPLA4	patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]
ENSG00000006831.9	chr12	+	1688574	1788678	ENSG00000006831	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]
ENSG00000006837.10	chr5	-	134286350	134371047	ENSG00000006837	CDKL3	cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]
ENSG00000007038.9	chr16	+	2817180	2826304	ENSG00000007038	PRSS21	protease, serine 21 [Source:HGNC Symbol;Acc:HGNC:9485]
ENSG00000007047.13	chr19	+	45079288	45305283	ENSG00000007047	MARK4	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]
ENSG00000007062.10	chr4	-	15963076	16084378	ENSG00000007062	PROM1	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ENSG00000007080.9	chr19	+	17933016	17943991	ENSG00000007080	CCDC124	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]
ENSG00000007129.16	chr19	+	41549518	41586844	ENSG00000007129	CEACAM21	carcinoembryonic antigen related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]
ENSG00000007168.11	chr17	+	2593210	2685615	ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]
ENSG00000007171.15	chr17	-	27756766	27800499	ENSG00000007171	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]
ENSG00000007202.13	chr17	-	28614440	28645454	ENSG00000007202	KIAA0100	KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]
ENSG00000007216.13	chr17	+	28473293	28497781	ENSG00000007216	SLC13A2	solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]
ENSG00000007237.17	chr17	-	9910609	10198551	ENSG00000007237	GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]
ENSG00000007255.9	chr19	-	45162928	45178237	ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]
ENSG00000007264.12	chr19	-	3777970	3802129	ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]
ENSG00000007306.13	chr19	-	41673307	41706976	ENSG00000007306	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:HGNC:1819]
ENSG00000007312.11	chr17	-	63928740	63932354	ENSG00000007312	CD79B	CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]
ENSG00000007341.17	chr1	-	112523518	112620825	ENSG00000007341	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]
ENSG00000007372.19	chr11	-	31784792	31817961	ENSG00000007372	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]
ENSG00000007376.6	chr16	-	784974	788397	ENSG00000007376	RPUSD1	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]
ENSG00000007384.14	chr16	-	58059	76355	ENSG00000007384	RHBDF1	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]
ENSG00000007392.15	chr16	-	188969	229463	ENSG00000007392	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]
ENSG00000007402.10	chr3	-	50362799	50504244	ENSG00000007402	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]
ENSG00000007516.12	chr16	+	1333601	1349441	ENSG00000007516	BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
ENSG00000007520.3	chr16	-	1349240	1351911	ENSG00000007520	TSR3	TSR3, acp transferase ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]
ENSG00000007541.13	chr16	+	566995	584136	ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]
ENSG00000007545.14	chr16	+	1612325	1677908	ENSG00000007545	CRAMP1	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]
ENSG00000007866.17	chr6	-	35473597	35497076	ENSG00000007866	TEAD3	TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]
ENSG00000007908.14	chr1	-	169722641	169764705	ENSG00000007908	SELE	selectin E [Source:HGNC Symbol;Acc:HGNC:10718]
ENSG00000007923.14	chr1	-	6634168	6701924	ENSG00000007923	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]
